epoch,lr-Adam,step,train_loss,val_loss
,5.523090052106744e-05,690,,
46,,704,0.03071974590420723,
,6.039954498243512e-05,705,,
47,,719,,0.12343880534172058
47,,719,0.03134198114275932,
,6.545430463377682e-05,720,,
48,,734,0.028499385342001915,
,7.033979847057604e-05,735,,
49,,749,0.028375370427966118,
,7.500250000000152e-05,750,,
50,,764,,0.12783260643482208
50,,764,0.027515655383467674,
,7.939132368836379e-05,765,,
51,,779,0.027407588437199593,
,8.345818466491281e-05,780,,
52,,794,0.02622811496257782,
,8.715852554974407e-05,795,,
53,,809,,0.2354375123977661
53,,809,0.025356730446219444,
,9.045180463377732e-05,810,,
54,,824,0.024875449016690254,
,9.33019400622049e-05,825,,
55,,839,0.02432660199701786,
,9.567770515484376e-05,840,,
56,,854,,0.050878316164016724
56,,854,0.02360481396317482,
,9.755307053217817e-05,855,,
57,,869,0.022615570574998856,
,9.890748929868861e-05,870,,
58,,884,0.022279290482401848,
,9.972612215893884e-05,885,,
59,,899,,0.03721293434500694
59,,899,0.02223612554371357,
,0.00010000000000000202,900,,
60,,914,0.021186212077736855,
,9.972612215893885e-05,915,,
61,,929,0.02042224258184433,
,9.890748929868861e-05,930,,
62,,944,,0.04375768080353737
62,,944,0.020995669066905975,
,9.755307053217818e-05,945,,
63,,959,0.020018557086586952,
,9.567770515484379e-05,960,,
64,,974,0.019767260178923607,
,9.330194006220493e-05,975,,
65,,989,,0.030330093577504158
65,,989,0.019762178882956505,
,9.045180463377734e-05,990,,
66,,1004,0.019601130858063698,
,8.715852554974411e-05,1005,,
67,,1019,0.02044203318655491,
,8.345818466491282e-05,1020,,
68,,1034,,0.028742466121912003
68,,1034,0.020241208374500275,
,7.939132368836383e-05,1035,,
69,,1049,0.0190114825963974,
,7.500250000000155e-05,1050,,
70,,1064,0.019584201276302338,
,7.033979847057607e-05,1065,,
71,,1079,,0.029898935928940773
71,,1079,0.019162651151418686,
,6.545430463377685e-05,1080,,
72,,1094,0.018770774826407433,
,6.0399544982435145e-05,1095,,
73,,1109,0.018751921132206917,
,5.523090052106747e-05,1110,,
74,,1124,,0.030291195958852768
74,,1124,0.01802772283554077,
,5.0005000000001037e-05,1125,,
75,,1139,0.017825886607170105,
,4.477909947893461e-05,1140,,
76,,1154,0.017794139683246613,
,3.961045501756697e-05,1155,,
77,,1169,,0.03555114567279816
77,,1169,0.017870735377073288,
,3.4555695366225216e-05,1170,,
78,,1184,0.017565449699759483,
,2.967020152942596e-05,1185,,
79,,1199,0.017683714628219604,
,2.5007500000000543e-05,1200,,
80,,1214,,0.03284597024321556
80,,1214,0.017278417944908142,
,2.061867631163823e-05,1215,,
81,,1229,0.017568595707416534,
,1.655181533508927e-05,1230,,
82,,1244,0.017882753163576126,
,1.2851474450257905e-05,1245,,
83,,1259,,0.026855474337935448
83,,1259,0.017626311630010605,
,9.558195366224706e-06,1260,,
84,,1274,0.017384376376867294,
,6.7080599377971165e-06,1275,,
85,,1289,0.017700858414173126,
,4.332294845158274e-06,1290,,
86,,1304,,0.02856067568063736
